title,id,episodes,score,rank,popularity,members,favorites,start_date,end_date,status,type,synopsis
Doujin Work,2166,12,6.92,3204,1453,17599,30,2007-07-04,2007-09-19,Finished Airing,TV,"Doujin Work follows the life of a young girl named Najimi Osana and her exposure into the doujin world. She was first tempted into becoming a doujin artist after seeing how much one of her friends can make at a convention. Najimi loves to draw, though soon learns contrary to what she expected that this new world is anything but easy. As she attends more conventions and meets more people, Najimi eventually manages to find a group of very interesting friends. These friends already have some experience in the field and help her out along the way so that she can someday make a name for herself creating doujinshi."
Clannad,2167,23,8.36,104,11,330687,15330,2007-10-05,2008-03-28,Finished Airing,TV,"Tomoya Okazaki is a delinquent who finds life dull and believes he'll never amount to anything. Along with his friend Sunohara, he skips school and plans to waste his high school days away. One day while walking to school, Tomoya passes a young girl muttering quietly to herself. Without warning she exclaims ""Anpan!"" which catches Tomoya's attention. He soon discovers the girl's name is Nagisa Furukawa and that she exclaims things she likes in order to motivate herself. Nagisa claims they are now friends, but Tomoya walks away passing the encounter off as nothing. However, Tomoya finds he is noticing Nagisa more and more around school. Eventually he concedes and befriends her. Tomoya learns Nagisa has been held back a year due to a severe illness and that her dream is to revive the school's drama club. Claiming he has nothing better to do, he decides to help her achieve this goal along with the help of four other girls. As Tomoya spends more time with the girls, he learns more about them and their problems. As he attempts to help each girl overcome her respective obstacle, he begins to realize life isn't as dull as he once thought."
Sakura Taisen: New York,2168,6,6.53,4810,4651,1409,5,2007-04-04,2007-08-01,Finished Airing,OVA,"New York City, the late 1920s. The battle with Nobunaga is over, the city restored to peace...until the owner of Little Lip Theater informs Shinjiro... ""This time, the leading lady will be...you."" Thus Shinjiro, disguised as the actress Petitmint, is forced into the role of ""Cleopatra."" The Star Division members set out to persuade a reluctant Shinjiro, beginning a chase across the five boroughs. Meanwhile, a dark-skinned youth and his servant have appeared unexpectedly in the midst of the flourishing city. His eyes, concealing a silent wrath, are fixed upon nothing less than the Statue of Liberty. Now Shinjiro and company must protect this city of hopes and dreams from a new menace while safely raising the curtain on a new show."
Ice,2169,3,5.73,6650,3026,4260,8,2007-05-25,2007-09-25,Finished Airing,OVA,"By A.D. 2010, all men have died off quickly due to a dramatic change in the environment and an unknown contaminant. The population decreased to the lowest number ever seen...until only the women were left alive. They live huddled in small corners of a world mostly reclaimed by nature. There are those who accept their inevitable extinction and live a carefree life... There are those who try to continue on the race with the help of science... It is a society of constant conflict over their differences of principles and policies. The story takes place in the center of Tokyo. It is one of the places left for them. The conflict over the specimen of ""ICE"" and the chance it may provide to save humanity begins."
Sousei no Aquarion OVA,2170,2,7.18,2414,2568,6124,9,2007-05-25,2007-11-22,Finished Airing,OVA,"In a distant future there is an organization called Deava which had to fight against the so called ""Shadow Angels"", creatures that had survived for over 12,000 years whose only purpose was to destroy humanity. Apollo, a seemingly normal human, was in fact the reincarnation of a fallen Angel called Apollonius, who in turn had to fight against Touma, a Shadow Angel, along with his comrades in order to prevent the destruction of the Earth."
Detective Conan Movie 11: Jolly Roger in the Deep Azure,2171,1,7.62,1037,1833,12217,8,2007-04-21,2007-04-21,Finished Airing,Movie,"The Isle of Koumi, a beautiful island in the Pacific Ocean. On the island, people pass an old legend down from generation to generation that there was the Seabed Palace, an ancient ruin at the bottom of the sea, where the treasure of 2 female pirates, Anne Bonnie & Mary Reed , was left. When Conan and his friends visit Koumi Island while on vacation, they meet some treasure hunters. There was something suspicious about them."
Crayon Shin-chan Movie 15: Arashi wo Yobu Utau Ketsu dake Bakudan!,2172,1,7.07,2875,5996,609,1,2007-04-21,2007-04-21,Finished Airing,Movie,The fifteenth Crayon Shin-chan movie.
Hokuto no Ken: Raoh Gaiden Gekitou-hen,2174,1,7.64,980,3449,3115,8,2007-04-28,2007-04-28,Finished Airing,Movie,The third chapter of the pentalogy . A retelling of Kenshiro's final battle with Raoh.
Kino no Tabi: The Beautiful World - Byouki no Kuni - For You,2175,1,7.91,554,1491,16830,13,2007-04-21,2007-04-21,Finished Airing,Movie,"Kino travels to a country divided into two parts: the very clean and peaceful city, closed off from the surrounding wastelands. She meets a little girl in the city suffering from a disease which is constantly being researched. The girl, however, does not know just how the research is being done."
Kiddy Grade: Ignition,2176,1,7.23,2137,3529,2903,5,2007-04-07,2007-04-07,Finished Airing,Movie,A recap of the original anime's first quarter.
Highlander: The Search for Vengeance,2178,1,6.93,3203,2350,7550,10,2007-02-14,2007-02-14,Finished Airing,Movie,"Colin MacLeod, the immortal Scottish Highlander, travels with the wise-cracking ghost Amergan in search of the immortal despot Marcus Octavius, who killed Colin's lover on the Celtic plains centuries earlier. The once great city of New York is now submerged under water, with only one dominant fortress towering over the sea, the fortress of Marcus Octavius. MacLeod is torn between saving the survivors of New York and hunting down his nemesis."
Tokimeki Memorial: Forever With You,2179,2,6.23,5857,4613,1449,1,1999-06-17,1999-10-08,Finished Airing,OVA,"Tokimeki Memorial brings together the twelve young girls from Kirameki High School, but revolves around the main girl, Fujisaki Shiori. The story starts at the beginning of the third school year, which is the last year before the main character can choose a girl and date her at the graduation."
Slow Step,2180,5,6.89,3545,5591,776,0,1991-06-01,1991-11-01,Finished Airing,OVA,"Based on the Adachi manga of the same name. The story revolves around a romantic triangle formed by the girl Minatsu Nakazato, a young student and softball player; Shu Akiba, a schoolmate; and Naoto Kadomatsu, an up-and-coming boxer. In reality the three-way relationship is more like three-and-a-half, considering that Naoto is in love with Maria... actually Minatsu herself, who'd once disguised herself to escape some evildoers."
TANK S.W.A.T. 01,2181,1,5.34,7099,5231,988,0,2006-03-24,2006-03-24,Finished Airing,OVA,Masamune Shirow presents a story about the Dominion Tank Police dealing with terrorists taking over the NT Building with AI driven tanks.
Robot Carnival,2182,9,7.43,1654,2914,4664,29,1987-07-21,1987-07-21,Finished Airing,OVA,"9 of Japan's leading animators were asked to create a short segment that followed the theme of ""Robots,"" for their inclusion in this film. Essentially, this ""movie"" is 9 short films, all independant of one another. The common element is human interaction with robots, namely the consequences of creating life with one's own hands, played in nine very different ways. 1: Opening 2: Franken's Gears 3: Deprive 4: Presence 5: Star Light Angel 6: Cloud 7: A Tale of Two Robots 8: Nightmare 9: Ending"
Ayane-chan High Kick!,2183,2,6.10,5972,4290,1768,2,1997-01-21,1997-04-25,Finished Airing,OVA,"Ayane is a high school student focused on one thing, becoming a pro wrestler. A trainer tricks her into becoming a Kick Boxer, the sport she hates. She keeps with it though once she finds out."
Words Worth Gaiden,2185,2,6.05,6227,4237,1828,6,2002-07-25,2002-09-25,Finished Airing,OVA,"The skill of sword-fighting is known to two tribes, the Tribes of Light and Shadow . The two tribes lived in peace and harmony, their domains separated by the &ldquo;Words Worth&rdquo; tablet—a huge monolith slab erected by a guardian spirit. Although the tablet has writing on it, neither Tribe can read the text. One day, Words Worth was mysteriously destroyed by an unknown entity; its component parts scattered among the domain of the Tribes of Shadow. The two Tribes blamed each other for the tablet's destruction, and started a war that has been on-going for 100 years. Astral, prince of the Tribe of Shadow, desires to become a Swordsman of Shadow but his father, King Wortoshika, forbids him to do so. He is engaged to Sharon, a beautiful swordswoman who generally like Astral but wishes he was stronger."
Maid no Yakata: Zetsubou-hen,2186,2,5.72,6786,5345,915,2,2002-09-06,2002-12-13,Finished Airing,OVA,"Momoko is having major money trouble. After the untimely death of her parents, she finds herself strapped for cash to pay for her college tuition. Desperate, Momoko even considers selling her most precious possession - her mother's ring... But everything changes when Takaaki, a charming young man in her class, generously offers to pay her tuition if she simply agrees to work off her debt by serving as his own, personal, live-in maid. At least, the offer sounded generous at first... Now completely under Takaaki's control, Momoko has no choice but to satisfy his every twisted sexual fantasy. Yet Momoko isn't the only one he's drafting into this new maid service. Using blackmail and bribery, Takaaki's staff continues to grow with gorgeous young maids who are willing to serve him on their hands and knees. But even with all of this beauty surrounding him, for some inexplicable reason, Momoko still remains the target for his ever growing sadistic experiments. Could his unhealthy fixation lead to disaster?"
Shuudan Chikan Densha,2187,2,6.10,6047,5687,731,1,2005-06-10,2005-09-09,Finished Airing,OVA,"Yuji is a young businessman with a penchant for groping women on the train. Unfortunately, he's really bad at it... His hobby is about to land him friendless, homeless, and probably behind bars. Enter the dashing hero, Kazuo, the man with the Golden Touch, any woman he touches turns to be horny! Touched by Yuji's plight, Kazuo takes him under his wing and teaches him to score with any woman, anywhere, anyhow."
Maid in Heaven SuperS,2188,2,6.54,4809,3675,2621,16,2005-10-28,2005-11-25,Finished Airing,OVA,"Maid in Heaven is a tart little two episode OVA focusing on the rather sordid relationship between Yuusuke Matsudo and his childhood friend Nagisa, who's also his newly hired maid. Of course, it would be more accurate to call her his maid/willing sex slave, since when she isn't cleaning or making food, he's showing her all the ways to be a true maid. How should a true maid act you ask? By being sexually subservient and promiscuous of course! She's not quite there yet though, and Yuusuke's on a mission to train her to be a true maid, ready and willing to please wherever and whenever he so desires!"
Shin Seiki Inma Seiden,2189,6,6.37,5115,5358,907,7,2001-02-25,2002-10-25,Finished Airing,OVA,"The Kameyama family and the Otori family are relatives. They are both trying to compete for control over Otori Academy. Violent crimes are happening inside the academy. There are rumors that someone wearing an iron mask is assaulting female students inside school grounds. Senna is attacked by writing tentacles, and is raped by a demon. The man in the iron mask suddenly appear in front of Mao. She tries to attack him, to no avail. She is rescued by Hitomi Kameyama. More horror is awaiting everybody as this shocking story unfolds!"
Tsubaki Iro no Purijioone,2190,3,5.69,6762,6255,509,1,2002-06-25,2002-12-21,Finished Airing,OVA,"Saionji Akitsugu is the heir to his father's immense fortune. But, he hates his father as he holds him responsible for pushing his mother to kill herself. When his father dies, Saionji is the least bit inclined to claim his inheritance. But his newly arrived secretary, Sannomiya Rei convinces him otherwise. He finally arrives at his ancestral home - a palatial mansion brimming with pliant maids who, he presumes, existed for the sole purpose of servicing their now deceased master..."
Waver,2191,3,6.26,5798,4443,1605,9,2001-09-21,2002-04-25,Finished Airing,OVA,"Somewhere, there is a forbidden mansion, a house of unspeakable erotic pleasures. Behind each door, a beautiful woman lies in wait for a man's touch. But these voluptuous vixens have an appetite for pain and punishment that compels even the strongest to beg for mercy! What man can withstand the unbearable pleasure, and rule the harem as his own?"
Saiunkoku Monogatari Soushuuhen,2193,9,7.38,1806,3784,2397,9,2007-03-01,2007-03-24,Finished Airing,Special,Recaps of the first season of Saiunkoku Monogatari. Aired to bridge the time till the second season starts.
Mejoku,2194,2,6.44,4974,4370,1696,10,2004-12-10,2005-03-11,Finished Airing,OVA,"* Based on a game by Love Juice I became a teacher to be like a passionate teacher in TV dramas, and I worked hard for the school. However, the principal who understood my way of teaching became sick, and hospitalized. Then, the vice-principal, Migiwa Anzu, took over the job. However, her educational policy was to make the students enter elite university, and my ideal education was broken. I was discouraged and became a bad teacher, and then even students began to make a fool of me. One day, I was scolded for the mistake I made in the class by the five female teachers who subordinated Ms. Migiwa. Then, I was dropped from homeroom teacher, and I began to just watch another teacher`s class. Since that day, my humiliating days began."
Heisa Byouin,2195,2,6.14,5971,5197,1005,1,2003-12-12,2004-03-12,Finished Airing,OVA,"Once again have a prescription for lust! In NAUGHTY NURSES, Aoshima General Hospital is well known for its sexy staff that fulfill their patients' every need! Nimura and Mayu are having major relationship problems. Too nervous to have sex with Mayu, Nimura decides that it'll be better if they just break up. But while they might want to go their own separate ways, fate has its own plans for the two of them. Both Nimura and Mayu end up working at Aoshima General Hospital! While having to work together might be uncomfortable for them, it's also stirring up a lot of gossip among the hospital's staff. But the gossip isn't really having much of an impact on either of them since the hospital's sexy staff and horny patients are keeping them on call night and day! The young nurse Satsuki taunts Nimura relentlessly with her hot body&hellip; the voluptuous head-nurse Ryoko seems to have her mind set on landing him in bed... not to mention that the patients can't get enough of him! All of this attention is great, but Nimura is still struggling with his feelings for Mayu and seeing her every day is making him more anxious than ever. Will this young couple find a way to patch things up despite all of the sexual distractions?"
Genmu Senki Leda,2196,1,6.37,5229,5090,1079,0,1985-03-01,1985-03-01,Finished Airing,OVA,"Asagiri Yohko is an ordinary high school student, and she is in love with a boy who does not know it. To help things along, she has written a song to explain how she feels but that song has quite a bit more than a couple of good bridges. Yohko learns that while she is listening to her song, she is transported to Earth's other-dimensional sister world ""Ashanti."" This song has the potential to open a gateway between Earth and Ashanti wide enough for a conquering force to invade and take over. And it is exactly why it was forbidden eons ago by the legendary warrior Leda who saw this coming. This Leda warrior's duty now falls to Yohko and some newfound friends to stop the onslaught and return the 2 worlds in balance. Maybe Yohko is not so ordinary after all."
Aa! Megami-sama!: Sorezore no Tsubasa Specials,2198,2,7.66,969,1702,13700,19,2007-02-23,2007-02-23,Finished Airing,Special,"When Keiichi found his grandpa's diary and saw a treasure map inside, Skuld and Urd started to feel a great urge to search it. With the company of his friends, Keiichi arrives to Honda Inn, the place indicated on the map. Once the party is inside, they meet Honda Chieko, who seems to share a certain promise with Keiichi. Apart from all that confusion, it's time for Keiichi to have enough courage to say the words ""I love you"" to Belldandy."
Chirin no Suzu,2199,1,7.21,2413,4364,1701,7,1978-03-11,1978-03-11,Finished Airing,Movie,"A little lamb's life is turned upside down by the wolf that killed his mother. He seeks to avenge his mother, but in order to defeat the wolf, he must become one."
Muteki Choujin Zanbot 3,2200,23,7.2,2601,5238,983,3,1977-10-08,1978-03-25,Finished Airing,TV,"There once existed a planet named Beal, until it was wiped out by the mysterious entity known as Gaizok. The few remaining survivors escaped to Earth and split into three families, named Jin, Kamie, and Kamikita respectively. While attempting to start a new life, the collectively known &quot;Jin Family&quot; prepared for the inevitable Gaizok invasion on Earth and its giant mechanical beasts known as &quot;Mecha Boosts&quot;. In order to defend their new home, they have built three vehicles which when combined form the mighty Zambot 3. The Jin Family must not only defend against Gaizok attacks, but also harsh criticisms from the very people they protect, who blame the Jin Family for the invasion in the first place."
Pokemon Advanced Generation: Pokemon Ranger to Umi no Ouji Manaphy,2201,1,7.05,2841,1300,20924,17,2006-07-15,2006-07-15,Finished Airing,Movie,"Satoshi and his friends get lost in an unknown wasteland. They eventually come across a ""Water Pokemon Show"" performed by the star of the Mariner Troupe, Hiromi. Hiromi is a descendant of the troupe of Water People able to communicate with water pokemon, and she tells our heroes the legend that's been passed down by her people for generations. According to legend, a temple the Water People built called ""The Water Temple Akuusha"" rests somewhere in the ocean, and a treasure called ""The Water Crown"" is hidden there. It's said that no one has ever seen this treasure, but that changes when a Pokemon Ranger named Jack Walker appears to chase aftert it. Jackie is on a top secret mission that has him protecting the egg of the leader of the water pokemon, Manaphy. This pokemon, called the ""Prince of the Sea,"" needs to be taken to the Water Temple Akuusha, so Satoshi-tachi and Hiromi decide to help him. Along the way, a pirate named Phantom attacks our heroes from his great submarine. Phantom plans to use the Water Crown's power to help him conquer the world, but he'll have to solve the mystery of Manaphy's egg first. When the Rocket-Dan get into the mix, Jackie uses his Capture Styler to borrow the power of a nearby pokemon to stand up to them. Satoshi and Pikachu enter the fray, but they still have to contend with the attacks of Phantom's powerful high tech mecha! Suddenly, the egg starts to shine with a vivid light, and Manpahy is born! What is the mystery of the legendary treasure? What mysterious powers does Manaphy have? Can Satoshi-tachi and Jackie complete their top secret mission? The journey to reach the Water Temple Akuusha has begun!"
Waga Seishun no Arcadia,2202,1,7.72,944,3438,3140,36,1982-07-28,1982-07-28,Finished Airing,Movie,"Earth has been conquered by the evil Illumidus Empire, with parallels drawn to the U.S. post World War II occupation of Japan. Captain Harlock with a group that will become his life long friends begin their fight against this tyranny visited upon the planet Earth, with no regard to the costs the struggle will have on them, caring only for the ideal of restoring freedom to the people of Earth."
Waga Seishun no Arcadia: Mugen Kidou SSX,2203,22,7.55,1356,4416,1641,6,1982-10-13,1983-03-30,Finished Airing,TV,"At the end of Arcadia of My Youth Capitain Harlock and the crew of the space ship Arcadia had been banished from Earth. The Earth, as well as many other planets in the universe had been taken over by the Illumidus, a race of destructive humanoids who ruin, enslave or destroy almost any inhabitable planet they come across. In ""Endless Orbit SSX"" Harlock battles the Illumidus while searching for a mythical ""Planet of Peace"" where all the peoples of the universe can live freely and without war."
Karakuri Zoushi Ayatsuri Sakon,2204,26,7.52,1392,2900,4716,25,1999-10-08,2000-03-31,Finished Airing,TV,"The dark-haired bishounen is Sakon Tachibana, a puppeteer, and the other is Ukon, his favorite puppet and best friend. Sakon is the grandson of Saemon Tachibana, a national treasure of Japan famous for his manipulation of Bunraku puppets. Ukon is a child doll puppet made in the early Meiji era by the famous female dollmaker Unosuke. Together they run into murders and solve them."
Bakuretsu Tenshi: Infinity,2205,1,6.94,3162,2046,9956,15,2007-03-23,2007-03-23,Finished Airing,OVA,"These events occur in Westland, New York, during the 21st century. With a sharp knife, a murderer is indiscriminately killing people&hellip; A girl witnesses one of these murders, and the knife is turned on the helpless girl shaking with fear. Meg returns to this town with Joe to celebrate the &ldquo;birthday&rdquo; of Shirley, who used to live with Meg. Orphans, they had decided that the day they first met would be her birthday. In the past, Meg had taken care of three little children, including Shirley, just before meeting Joe. The children were then adopted by a police officer, Sam. He possessed a strong sense of justice and they are supposedly living happily together now. Meg and Joe happen to help a person and receive a reward. They buy a present for Shirley with the reward money and go to meet Sam. However, they notice him acting strangely. Upon questioning him, he explains that Shirley was assaulted by a murderer and seriously injured. Joe says to the grieving and angry Meg, &ldquo;Let's exact revenge on the murderer for Shirley.&rdquo; However, the murderer gradually approaches them from behind. The cruel black eyes fall on Meg and Joe&hellip; To make matters worse, a dark plot casts its shadow over Meg, Joe, Sam, and the whole town."
Galaxy Angel Z Special,2206,1,7.13,2574,4229,1833,0,2002-00-00,2002-00-00,Finished Airing,Special,"Forte suddenly asks for leave for the day, leaving the Angels, Ranpha in particular, thinking she's off for a date. Meanwhile, Forte meets up with an old acquaintance who wants to ask her opinion on a rather pressing matter of life and death."
Violinist of Hamelin: The Movie,2207,1,6.64,4294,4819,1286,3,1996-04-20,1996-04-20,Finished Airing,Movie,"While on their quest to stop the Demon King, the violinist Hamel, the pianist Raiel, the magess Flute and the female warrior Sizer stop in a small kingdom and destroy a rampaging monster. While giving the four a heroes' welcome, the king and queen explain that their daughter has been kidnapped by a monster living in a nearby castle. They agree to go and rescue the hostage princess and defeat the monster. However, the enemy's castle is heavily guarded..."
Flutter of Birds II: Tenshi-tachi no Tsubasa,2208,2,5.90,6444,5963,621,0,2003-05-23,2003-08-22,Finished Airing,OVA,"The miracle happens again... in another country - The son of an Englishman and a Japanese woman, our main character is Shin'ya. Having grown up in his father's native land, he wanted to visit the homeland of his mother, who died when he was young. White snow covers the town of Kuramachi. His other hometown, the last trace of his mother. That is where his father and mother met and were married. And the time comes when Shin'ya's wish is granted. His aunt Miyu says she'll look after him at her church.. In his mother's hometown, Shin'ya injures his leg and goes to a clinic. As Shin'ya stays in the small, snow-covered town, waiting for his leg to heal, he encounters various young women. His encounter with the girl in the clinic who likes to read, Narumi, becomes one he'll never forget..."
V.G.Neo The Animation,2209,3,5.99,6367,4528,1521,2,2004-02-25,2005-01-25,Finished Airing,OVA,"""V.G. Neo"" is a legendary battle that has been held over several decades to find the strongest waitress. Asuka Yuu arranges with her brother-in-law to live with him and work in his cafe. Suddenly, the enormous debt she owes to her brother-in-law becomes too costly. In order to repay the money, she joins the ""Virgin Goodness League"" which is a battle of waitresses set on one of the most enormous luxury liners in the world. An unknown sponsor promises enormous prizes for victory, but the loser will have to bear the ultimate humiliation. The maidens who will change fate cannot lose these one on one matches or they will suffer the consequences."
Tooi Sekai,2210,1,6.68,3790,2125,9376,9,1999-02-01,1999-02-01,Finished Airing,ONA,"A man and a woman, talking over their relationship."
Jumping,2211,1,6.75,3789,4472,1571,1,1984-06-00,1984-06-00,Finished Airing,Movie,"A boy walks down the street and as he goes along his strides increase. Eventually he leaps over towns, forests, and oceans, seeing many things and surprising many people along the way."
Bakuretsu Tenshi: Infinity Specials,2212,3,6.94,3161,3093,4069,3,2007-03-23,2007-03-23,Finished Airing,Special,Three specials of the Bakuretsu Tenshi: Infinity OVA. Containing a summary of the whole show and a short AMV.
Black Jack (TV),2213,61,7.77,874,2218,8582,61,2004-10-11,2006-03-06,Finished Airing,TV,"Black Jack is an ""unregistered"" doctor with a clouded, mysterious past. He works with his little assistant Pinoko , dealing with medical cases not very well known, which can be strange, dangerous, or not known at all. But he is a genius, and can save almost any of his patients' life , and is known to many around the world, especially to those of medicine and science. He's a man of science himself, and does not believe much until he has seen it, yet it is many times he is surprised by love and nature often overpowering the science he bases his life in."
Black Jack 21,2214,17,7.78,892,3330,3392,20,2006-04-10,2006-09-04,Finished Airing,TV,"No direct-relation sequel to original Black Jack. Black Jack attempts to find out the conspiracy, of why he was involved in the bombfield accident that killed his mother, while he uncovers secrets of Organization and Project ""Noir"", which, his father and other famous doctors were involved in..."
Kishin Taisen Gigantic Formula,2215,26,7.02,3005,3197,3777,7,2007-04-05,2007-09-27,Finished Airing,TV,"2035 A.D. The heads of ancient giant idols were excavated all over the world. Using those twelve stones statues, Humanity had barely overcome the threat of extinction called the ""Equatorial Winter"". But the stone statues had forced Humanity to construct colossal suits of armor as their bodies and demanded that the humans fight each other."
Shigurui,2216,12,7.56,1203,1010,29619,337,2007-07-19,2007-10-11,Finished Airing,TV,"At the beginning of the Edo Era, when people enjoyed a time of peace, Lord Tokugawa Tadanaga holds a fighting tournament. In the past, matches were fought with wooden swords. This time, real swords will be used. One-armed Fujiki Gennosuke and blind Irako Seigen will fight each other in this match. Both are disciples of Iwamoto Kogan, who is known as Japan's greatest swordsman. Each of them are determined to prove himself the successor of Iwamoto's school. However, there can only be one champion. So begins a story of intertwining fates, conflict, and strange destinies."
Hand Maid May Special,2217,1,6.88,3445,2821,5040,3,2001-02-21,2001-02-21,Finished Airing,Special,Special episode.
Fujimi 2-choume Koukyougakudan,2218,1,5.74,6692,3119,3975,4,1997-07-22,1997-07-22,Finished Airing,OVA,"High school music teacher, Morimura Yuuki, is the concert master and first violinist of the amateur orchestra, Fujimi Orchestra. Surprisingly, a young conductor named Tonoin Kei joins this small orchestra to conduct. Even though Tonoin is a strict conductor, all the members adore him for the notable improvements in their performances and soon Yuuki feels his efforts for the orchestra have been fruitless. Yuuki soon comes to the conclusion that his crush of 3 years likes Tonoin, and he decides to give up on her and leave the orchestra. Tonoin refuses to let him quit, confessing that he loves Yuuki, which reveals that he's gay. Tonoin's love confession confuses Yuuki and it leads to a very horrible misunderstanding."
Ryokunohara Meikyuu,2219,1,5.31,7183,4520,1528,2,1990-00-00,1990-00-00,Finished Airing,OVA,"Hiroki and Kanata have been together since they were children. One day Hiroki is caught up in an accident while trying to save a little girl. The next thing he knows, he is looking down on his own body. Seperated from his body, Kanata, and everything else, he tries to figure out just what is going on. Why is he outside his body which is living on as if nothing has changed, how can he convince Kanata that he is there, and who is the strange girl, Fhalei, who keeps appearing for him?"
Ai Shite Night,2221,42,6.77,3788,3674,2625,21,1983-03-01,1984-01-24,Finished Airing,TV,"Yaeko Mitamura is an 18 year old girl working in her father's Okonomiyaki restaurant. One day Yakko casually meets a little boy, Hashizo and his odd cat Juliano. Hashizo has lost both parents when still a baby and has been brought up by his elder brother. Hashizo's brother Go Kato is the lead singer of the emerging rock band ""Bee Hive"". When Yakko meets Go and his friend and ""Bee Hive"" member Satomi Okawa an unexpected series of events unfolds. Love, jealousy, rock'n roll and the sparkle of newly borned stars is what makes this anime so lovable."
Dr. Slump: Arale-chan,2222,243,7.26,2201,3407,3203,11,1981-04-08,1986-02-19,Finished Airing,TV,"Dr. Slump creates a little android girl, Arale, who is very stong, happy, and totally common senseless. They live in Penguin Village where the strangest things happen ."
Maple Town Monogatari,2223,52,6.93,3482,5962,621,3,1986-01-19,1987-01-11,Finished Airing,TV,"Maple Town Stories is about friendship, adventure and the troubles the children who are the main characters of the show, fall into. Wild Wolfe is a homeless thief who lives in the forest and usually steals from the town and does other mischief, but the kids are always there to stop him and set things right slowly making him understand the wrongs of his ways."
Hikari no Densetsu,2224,19,6.79,3959,4799,1298,9,1986-05-03,1986-09-20,Finished Airing,TV,"Hikari, is a young school girl who dreams of becoming a great champion in the sport of rhythmic gymnastics like her idol, Diliana Gueorguiva. She works hard despite all her setbacks while performing and soon becomes a member of the rhythmic gymnastics team in her school with the help and support of Takaaki Oiishi, the best male gymnast of her school, and soon she develops feelings for him. But Hikari is not the only one who has feelings for Oiishi, Bazuki Shiina, the best gymast in the entire school also has feelings for him Oiishi. And soon a friendship between Hikari and Shiina develop, but also a rivalry between two soon develop as well for the sport and for the love of Oiishi. Hikari is also torned between her feelings for Oiishi and her conflicting feelings for Mao Natsukawa, an old childhood friend of hers, and the lead singer of the band called Mr. D, who composes the music she uses while performing. And who has been developing feelings for her since childhood."
Alps no Shoujo Heidi,2225,52,7.27,2412,2380,7351,37,1974-01-06,1974-12-29,Finished Airing,TV,"After becoming an orphan, Heidi is forced to live with her grandfather Öhi, who lives in the Alps. She learns he's a very bitter man who only accepted by force to take her in. But Heidi's kindness may be able to open his heart. Together with the shepherd Peter and invalid Klara, she has lots of adventures."
Mori no Tonto-tachi,2226,23,6.27,5749,7517,177,0,1984-10-05,1985-03-29,Finished Airing,TV,"Deep in the forests of Finland live the little people, or Tontus, the elves who work all year round to keep Joulupukki supplied with toys for Christmas Eve."
Lady Lady!!,2227,21,7.71,943,4246,1819,20,1987-10-21,1988-03-23,Finished Airing,TV,"Lynn lost her mother at the age of five and lives in with her father in England. Lynn's father is not able to be by her side all the time because of his busy schedule and Lynn is often left on her own. Despite having to endure the harsh loneliness, Lynn strives to protect her promise with her mother to become a strong and elegant lady."
Honoo no Toukyuuji: Dodge Danpei,2228,47,7.51,1482,4808,1293,4,1991-10-14,1992-09-21,Finished Airing,TV,"Danpei Ichihgeki is the son of Daijurou Ichigeki, a great dodgeball player. As his father, Danpei gives all he has for this game and so it shows in every match."
Dragon Quest: Dai no Daibouken,2229,46,7.78,891,2759,5319,30,1991-10-17,1992-09-24,Finished Airing,TV,"After the defeat of the demon lord Hadlar all of the monsters were unleashed from his evil will and moved to the island of Delmurin to live in peace. Dai is the only human living on the island. Having been raised by the kindly monster Brass, Dai's dream is to grow up to be a hero. He gets to become one when Hadlar is resurrected and the previous hero, Avan, comes to train Dai to help in the battle. But Hadlar, announcing that he now works for an even more powerful demon lord, comes to kill Avan. To save his students Avan uses a Self-Sacrifice spell to attack, but is unable to defeat Hadlar. When it seems that Dai and Avan's other student Pop are doomed a mark appears on Dai's forehead and he suddenly gains super powers and is able to fend off Hadlar. The two students then go off on a journey to avenge Avan and bring peace back to the world."
Hana no Ko Lunlun,2230,50,7.03,3063,4625,1436,6,1979-02-09,1980-02-08,Finished Airing,TV,"The King of the Flower Planet is dying, but his heir can't take up the throne until the legendary Seven Color Flower, symbol of the King's power, is found. The Angels, Cateau and Noveau are sent to Earth to find the Flower Girl, a young female who descends from both humans and Flower Angels - and they find Lunlun in France. They convince her to go in a long journey to find the Flower - she'll know the good and bad sides of humans and Flower Angels , and will fall in love with Serge Flora, a man who holds a great secret."
Miyuki,2231,37,6.98,3262,5426,863,2,1983-03-31,1984-04-20,Finished Airing,TV,"Wakamatsu Masato lives with his step-sister, Miyuki, whom he does not have blood relationship with. Their father is always working oversea and left the two of them living by themselves in Toukyou. Miyuki is cute, nice, sensitive and very popular among guys around Masato. Masato has a girlfriend at school whose name is Kajima Miyuki, who is pretty and gentle, the ideal dream of every highschool boy."
Funny Pets,2232,12,5.07,7190,7190,237,1,2006-01-11,2006-03-29,Finished Airing,TV,"One day an armada of Unidentified Flying Objects came out of nowhere under the full moon. One of them mistakenly fell to the Earth. The two Extra-Terrestrials, Crescent and Corona, who were on board the falling UFO, happened to be saved and picked up by an Earth girl Funny. In reality Crescent and Corona were forced to live as pet with that selfish and moody girl Funny..."
Ocha-ken,2233,26,6.55,4808,6261,507,1,2003-10-06,2004-04-01,Finished Airing,TV,"Ocha-ken is a children's program about tea-dogs and tea-cats, each representing a different blend. The episodes are very short and geared to teaching the audience various values. The lesson, or moral of the episode is displayed at the end."
